YEAR,MONTH,DATE,PRODUCT_KEY,หมวดบัญชี,TYPE,NT,PRODUCT_NAME,ITEM,BUSINESS_GROUP,SUB_ITEM,SERVICE_GROUP,BUSINESS,SERVICE,PRODUCT,REPORT_CODE,GL_GROUP,CUSTOMER_GROUP_KEY,EXPENSE_VALUE,AMOUNT,REVENUE_VALUE
2025,1,2025-01-01,179847291,R01 รายได้1 Hard Infrastructure,01 รายได้,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,R01,รายได้1 Hard Infrastructure,,0.0,0.0,238859.4961328616
2025,1,2025-01-01,179847291,C10 ค่าใช้จ่ายบริการโทรคมนาคม,02 ต้นทุนบริการ,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C10,ค่าใช้จ่ายบริการโทรคมนาคม,,6783.049193138829,6783.049193138829,0.0
2025,1,2025-01-01,179847291,C06 ค่าใช้จ่ายการตลาดและส่งเสริมการขาย,02 ต้นทุนบริการ,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C06,ค่าใช้จ่ายการตลาดและส่งเสริมการขาย,,28097.311115660657,28097.311115660657,0.0
2025,1,2025-01-01,179847291,C07 ค่าใช้จ่ายเผยแพร่ประชาสัมพันธ์,02 ต้นทุนบริการ,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C07,ค่าใช้จ่ายเผยแพร่ประชาสัมพันธ์,,36174.50138311367,36174.50138311367,0.0
2025,1,2025-01-01,179847291,C15 ค่าใช้จ่ายบริการอื่น,02 ต้นทุนบริการ,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C15,ค่าใช้จ่ายบริการอื่น,,26992.95777056744,26992.95777056744,0.0
2025,1,2025-01-01,179847291,C05 ค่าสาธารณูปโภค,02 ต้นทุนบริการ,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C05,ค่าสาธารณูปโภค,,42159.02658105636,42159.02658105636,0.0
2025,1,2025-01-01,179847291,C13 ค่าเช่าและค่าใช้สินทรัพย์,03 ค่าใช้จ่ายขายและการตลาด,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C13,ค่าเช่าและค่าใช้สินทรัพย์,,46930.67161551779,46930.67161551779,0.0
2025,1,2025-01-01,179847291,C03 ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร,03 ค่าใช้จ่ายขายและการตลาด,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C03,ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร,,50803.806521864404,50803.806521864404,0.0
2025,1,2025-01-01,179847291,C05 ค่าสาธารณูปโภค,03 ค่าใช้จ่ายขายและการตลาด,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C05,ค่าสาธารณูปโภค,,43233.42998362428,43233.42998362428,0.0
2025,1,2025-01-01,179847291,C11 ค่าเสื่อมราคาและรายจ่ายตัดบัญชีสินทรัพย์,04 ค่าใช้จ่ายสนับสนุน,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C11,ค่าเสื่อมราคาและรายจ่ายตัดบัญชีสินทรัพย์,,47938.497576756665,47938.497576756665,0.0
2025,1,2025-01-01,179847291,C05 ค่าสาธารณูปโภค,04 ค่าใช้จ่ายสนับสนุน,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C05,ค่าสาธารณูปโภค,,21457.547211447607,21457.547211447607,0.0
2025,1,2025-01-01,179847291,C14 ต้นทุนขาย,04 ค่าใช้จ่ายสนับสนุน,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C14,ต้นทุนขาย,,38461.50962015994,38461.50962015994,0.0
2025,1,2025-01-01,179847291,C16 ค่าใช้จ่ายดำเนินงานอื่น,04 ค่าใช้จ่ายสนับสนุน,NT,1.1 กลุ่มบริการท่อร้อยสาย,1,1 Hard Infrastructure,1.1,1.1 กลุ่มบริการท่อร้อยสาย,1 Hard Infrastructure,1.1 กลุ่มบริการท่อร้อยสาย,179847291 1.1 กลุ่มบริการท่อร้อยสาย,C16,ค่าใช้จ่ายดำเนินงานอื่น,,44925.306958377194,44925.306958377194,0.0
2025,1,2025-01-01,141204065,R01 รายได้1 Hard Infrastructure,01 รายได้,NT,1.2 กลุ่มบริการ Dark Fiber,1,1 Hard Infrastructure,1.2,1.2 กลุ่มบริการ Dark Fiber,1 Hard Infrastructure,1.2 กลุ่มบริการ Dark Fiber,141204065 1.2 กลุ่มบริการ Dark Fiber,R01,รายได้1 Hard Infrastructure,,0.0,0.0,162427.3510545645
2025,1,2025-01-01,141204065,C11 ค่าเสื่อมราคาและรายจ่ายตัดบัญชีสินทรัพย์,02 ต้นทุนบริการ,NT,1.2 กลุ่มบริการ Dark Fiber,1,1 Hard Infrastructure,1.2,1.2 กลุ่มบริการ Dark Fiber,1 Hard Infrastructure,1.2 กลุ่มบริการ Dark Fiber,141204065 1.2 กลุ่มบริการ Dark Fiber,C11,ค่าเสื่อมราคาและรายจ่ายตัดบัญชีสินทรัพย์,,6811.699205474317,6811.699205474317,0.0
2025,1,2025-01-01,141204065,C13 ค่าเช่าและค่าใช้สินทรัพย์,02 ต้นทุนบริการ,NT,1.2 กลุ่มบริการ Dark Fiber,1,1 Hard Infrastructure,1.2,1.2 กลุ่มบริการ Dark Fiber,1 Hard Infrastructure,1.2 กลุ่มบริการ Dark Fiber,141204065 1.2 กลุ่มบริการ Dark Fiber,C13,ค่าเช่าและค่าใช้สินทรัพย์,,11131.296689370452,11131.296689370452,0.0
2025,1,2025-01-01,141204065,C10 ค่าใช้จ่ายบริการโทรคมนาคม,02 ต้นทุนบริการ,NT,1.2 กลุ่มบริการ Dark Fiber,1,1 Hard Infrastructure,1.2,1.2 กลุ่มบริการ Dark Fiber,1 Hard Infrastructure,1.2 กลุ่มบริการ Dark Fiber,141204065 1.2 กลุ่มบริการ Dark Fiber,C10,ค่าใช้จ่ายบริการโทรคมนาคม,,-13012.53261609183,-13012.53261609183,0.0
2025,1,2025-01-01,141204065,C06 ค่าใช้จ่ายการตลาดและส่งเสริมการขาย,03 ค่าใช้จ่ายขายและการตลาด,NT,1.2 กลุ่มบริการ Dark Fiber,1,1 Hard Infrastructure,1.2,1.2 กลุ่มบริการ Dark Fiber,1 Hard Infrastructure,1.2 กลุ่มบริการ Dark Fiber,141204065 1.2 กลุ่มบริการ Dark Fiber,C06,ค่าใช้จ่ายการตลาดและส่งเสริมการขาย,,24563.684213146917,24563.684213146917,0.0
2025,1,2025-01-01,141204065,C16 ค่าใช้จ่ายดำเนินงานอื่น,03 ค่าใช้จ่ายขายและการตลาด,NT,1.2 กลุ่มบริการ Dark Fiber,1,1 Hard Infrastructure,1.2,1.2 กลุ่มบริการ Dark Fiber,1 Hard Infrastructure,1.2 กลุ่มบริการ Dark Fiber,141204065 1.2 กลุ่มบริการ Dark Fiber,C16,ค่าใช้จ่ายดำเนินงานอื่น,,42616.47789925487,42616.47789925487,0.0
2025,1,2025-01-01,141204065,C15 ค่าใช้จ่ายบริการอื่น,03 ค่าใช้จ่ายขายและการตลาด,NT,1.2 กลุ่มบริการ Dark Fiber,1,1 Hard Infrastructure,1.2,1.2 กลุ่มบริการ Dark Fiber,1 Hard Infrastructure,1.2 กลุ่มบริการ Dark Fiber,141204065 1.2 กลุ่มบริการ Dark Fiber,C15,ค่าใช้จ่ายบริการอื่น,,47585.48381984752,47585.48381984752,0.0
